symbol,secID,ticker,exchangeCD,secShortName,listDate
sz000682,000682.XSHE,000682,XSHE,东方电子,1997-01-21
sz000683,000683.XSHE,000683,XSHE,博源化工,1997-01-31
sz000685,000685.XSHE,000685,XSHE,中山公用,1997-01-23
sz000686,000686.XSHE,000686,XSHE,东北证券,1997-02-27
sz000688,000688.XSHE,000688,XSHE,国城矿业,1997-01-20
sz000690,000690.XSHE,000690,XSHE,宝新能源,1997-01-28
sz000691,000691.XSHE,000691,XSHE,*ST亚太,1997-02-28
sz000692,000692.XSHE,000692,XSHE,惠天热电,1997-02-27
sz000695,000695.XSHE,000695,XSHE,滨海能源,1997-02-18
sz000697,000697.XSHE,000697,XSHE,ST炼石,1997-03-25
sz000698,000698.XSHE,000698,XSHE,ST沈化,1997-02-20
sz000700,000700.XSHE,000700,XSHE,模塑科技,1997-02-28
sz000701,000701.XSHE,000701,XSHE,厦门信达,1997-02-26
sz000702,000702.XSHE,000702,XSHE,正虹科技,1997-03-18
sz000703,000703.XSHE,000703,XSHE,恒逸石化,1997-03-28
sz000705,000705.XSHE,000705,XSHE,浙江震元,1997-04-10
sz000707,000707.XSHE,000707,XSHE,双环科技,1997-04-15
sz000708,000708.XSHE,000708,XSHE,中信特钢,1997-03-26
sz000709,000709.XSHE,000709,XSHE,河钢股份,1997-04-16
sz000710,000710.XSHE,000710,XSHE,贝瑞基因,1997-04-22
sz000711,000711.XSHE,000711,XSHE,ST京蓝,1997-04-11
sz000712,000712.XSHE,000712,XSHE,锦龙股份,1997-04-15
sz000713,000713.XSHE,000713,XSHE,国投丰乐,1997-04-22
sz000715,000715.XSHE,000715,XSHE,中兴商业,1997-05-08
sz000716,000716.XSHE,000716,XSHE,黑芝麻,1997-04-18
sz000717,000717.XSHE,000717,XSHE,中南股份,1997-05-08
sz000718,000718.XSHE,000718,XSHE,苏宁环球,1997-04-08
sz000719,000719.XSHE,000719,XSHE,中原传媒,1997-03-31
sz000720,000720.XSHE,000720,XSHE,新能泰山,1997-05-09
sz000721,000721.XSHE,000721,XSHE,西安饮食,1997-04-30
sz000722,000722.XSHE,000722,XSHE,湖南发展,1997-05-22
sz000723,000723.XSHE,000723,XSHE,美锦能源,1997-05-15
sz000725,000725.XSHE,000725,XSHE,京东方A,2001-01-12
sz000726,000726.XSHE,000726,XSHE,鲁泰A,2000-12-25
sz000727,000727.XSHE,000727,XSHE,冠捷科技,1997-05-20
sz000728,000728.XSHE,000728,XSHE,国元证券,1997-06-16
sz000729,000729.XSHE,000729,XSHE,燕京啤酒,1997-07-16
sz000731,000731.XSHE,000731,XSHE,四川美丰,1997-06-17
sz000733,000733.XSHE,000733,XSHE,振华科技,1997-07-03
sz000735,000735.XSHE,000735,XSHE,罗牛山,1997-06-11
sz000736,000736.XSHE,000736,XSHE,*ST中地,1997-04-25
sz000737,000737.XSHE,000737,XSHE,北方铜业,1997-04-28
sz000738,000738.XSHE,000738,XSHE,航发控制,1997-06-26
sz000739,000739.XSHE,000739,XSHE,普洛药业,1997-05-09
sz000750,000750.XSHE,000750,XSHE,国海证券,1997-07-09
sz000751,000751.XSHE,000751,XSHE,锌业股份,1997-06-26
sz000752,000752.XSHE,000752,XSHE,ST西发,1997-06-25
sz000753,000753.XSHE,000753,XSHE,漳州发展,1997-06-26
sz000755,000755.XSHE,000755,XSHE,山西高速,1997-06-27
sz000756,000756.XSHE,000756,XSHE,新华制药,1997-08-06
sz000757,000757.XSHE,000757,XSHE,浩物股份,1997-06-27
sz000758,000758.XSHE,000758,XSHE,中色股份,1997-04-16
sz000759,000759.XSHE,000759,XSHE,中百集团,1997-05-19
sz000761,000761.XSHE,000761,XSHE,本钢板材,1998-01-15
sz000762,000762.XSHE,000762,XSHE,西藏矿业,1997-07-08
sz000766,000766.XSHE,000766,XSHE,通化金马,1997-04-30
sz000767,000767.XSHE,000767,XSHE,晋控电力,1997-06-09
sz000768,000768.XSHE,000768,XSHE,中航西飞,1997-06-26
sz000776,000776.XSHE,000776,XSHE,广发证券,1997-06-11
sz000777,000777.XSHE,000777,XSHE,中核科技,1997-07-10
sz000778,000778.XSHE,000778,XSHE,新兴铸管,1997-06-06
sz000779,000779.XSHE,000779,XSHE,甘咨询,1997-05-28
sz000782,000782.XSHE,000782,XSHE,恒申新材,1997-06-19
sz000783,000783.XSHE,000783,XSHE,长江证券,1997-07-31
sz000785,000785.XSHE,000785,XSHE,居然智家,1997-07-11
sz000786,000786.XSHE,000786,XSHE,北新建材,1997-06-06
sz000788,000788.XSHE,000788,XSHE,北大医药,1997-06-16
sz000789,000789.XSHE,000789,XSHE,万年青,1997-09-23
sz000790,000790.XSHE,000790,XSHE,华神科技,1998-03-27
sz000791,000791.XSHE,000791,XSHE,甘肃能源,1997-10-14
sz000792,000792.XSHE,000792,XSHE,盐湖股份,1997-09-04
sz000793,000793.XSHE,000793,XSHE,*ST华闻,1997-07-29
sz000795,000795.XSHE,000795,XSHE,英洛华,1997-08-08
sz000796,000796.XSHE,000796,XSHE,凯撒旅业,1997-07-03
sz000797,000797.XSHE,000797,XSHE,中国武夷,1997-07-15
sz000798,000798.XSHE,000798,XSHE,中水渔业,1998-02-12
sz000799,000799.XSHE,000799,XSHE,酒鬼酒,1997-07-18
sz000800,000800.XSHE,000800,XSHE,一汽解放,1997-06-18
sz000801,000801.XSHE,000801,XSHE,四川九洲,1998-05-06
sz000802,000802.XSHE,000802,XSHE,北京文化,1998-01-08
sz000803,000803.XSHE,000803,XSHE,山高环能,1998-03-03
sz000807,000807.XSHE,000807,XSHE,云铝股份,1998-04-08
sz000809,000809.XSHE,000809,XSHE,和展能源,1998-06-16
sz000810,000810.XSHE,000810,XSHE,创维数字,1998-06-02
sz000811,000811.XSHE,000811,XSHE,冰轮环境,1998-05-28
sz000812,000812.XSHE,000812,XSHE,陕西金叶,1998-06-23
sz000813,000813.XSHE,000813,XSHE,德展健康,1998-05-19
sz000815,000815.XSHE,000815,XSHE,美利云,1998-06-09
sz000816,000816.XSHE,000816,XSHE,智慧农业,1997-08-18
sz000818,000818.XSHE,000818,XSHE,航锦科技,1997-10-17
sz000819,000819.XSHE,000819,XSHE,岳阳兴长,1997-06-25
sz000820,000820.XSHE,000820,XSHE,*ST节能,1998-06-30
sz000821,000821.XSHE,000821,XSHE,ST京机,1998-06-26
sz000822,000822.XSHE,000822,XSHE,山东海化,1998-07-03
sz000823,000823.XSHE,000823,XSHE,超声电子,1997-10-08
sz000825,000825.XSHE,000825,XSHE,太钢不锈,1998-10-21
sz000826,000826.XSHE,000826,XSHE,启迪环境,1998-02-25
sz000828,000828.XSHE,000828,XSHE,东莞控股,1997-06-17
