secID,ticker,tradeDate,marketValue,negMarketValue,secShortName,exchangeCD
688579.XSHG,688579,2026-03-26,4168104200.0,4168104200.0,地纬智能,XSHG
300729.XSHE,300729,2026-03-26,4171091067.0,3888189030.0,乐歌股份,XSHE
300092.XSHE,300092,2026-03-26,4171851859.0,3196263749.0,科新机电,XSHE
301332.XSHE,301332,2026-03-26,4172525000.0,2394673400.0,德尔玛,XSHE
300833.XSHE,300833,2026-03-26,4172921595.0,2680618945.0,浩洋股份,XSHE
603878.XSHG,603878,2026-03-26,4174863000.0,4174863000.0,武进不锈,XSHG
603726.XSHG,603726,2026-03-26,4179008512.0,4157736562.0,朗迪集团,XSHG
300288.XSHE,300288,2026-03-26,4180335118.0,3173763478.0,朗玛信息,XSHE
688533.XSHG,688533,2026-03-26,4180771618.94,4180771618.94,上声电子,XSHG
001325.XSHE,001325,2026-03-26,4181072000.0,1045268000.0,元创股份,XSHE
001379.XSHE,001379,2026-03-26,4184000000.0,1407895080.0,腾达科技,XSHE
600824.XSHG,600824,2026-03-26,4184487587.0,4184487587.0,益民集团,XSHG
300326.XSHE,300326,2026-03-26,4187353584.0,4158356816.0,ST凯利,XSHE
300423.XSHE,300423,2026-03-26,4189045146.0,2806895410.0,昇辉科技,XSHE
301315.XSHE,301315,2026-03-26,4189680000.0,1761570000.0,威士顿,XSHE
300632.XSHE,300632,2026-03-26,4190144741.0,3037221538.0,光莆股份,XSHE
300745.XSHE,300745,2026-03-26,4190563190.0,3537863890.0,欣锐科技,XSHE
000803.XSHE,000803,2026-03-26,4192002838.0,4133492322.0,山高环能,XSHE
688569.XSHG,688569,2026-03-26,4192267330.0,4192267330.0,铁科轨道,XSHG
301557.XSHE,301557,2026-03-26,4192856577.0,1681101950.0,常友科技,XSHE
001306.XSHE,001306,2026-03-26,4194020538.0,1034315000.0,夏厦精密,XSHE
002269.XSHE,002269,2026-03-26,4195875000.0,4195875000.0,美邦服饰,XSHE
002871.XSHE,002871,2026-03-26,4198402846.0,2490422985.0,伟隆股份,XSHE
603661.XSHG,603661,2026-03-26,4198432730.0,4198432730.0,恒林股份,XSHG
300365.XSHE,300365,2026-03-26,4198988500.0,3582072200.0,恒华科技,XSHE
002613.XSHE,002613,2026-03-26,4204172434.0,2950019830.0,北玻股份,XSHE
688070.XSHG,688070,2026-03-26,4207343200.0,4207343200.0,纵横股份,XSHG
300936.XSHE,300936,2026-03-26,4207440000.0,2655403785.0,中英科技,XSHE
300553.XSHE,300553,2026-03-26,4208836438.0,3194122214.0,集智股份,XSHE
601616.XSHG,601616,2026-03-26,4217155982.0,4217155982.0,广电电气,XSHG
300894.XSHE,300894,2026-03-26,4217208198.0,3052460094.0,火星人,XSHE
300808.XSHE,300808,2026-03-26,4219200000.0,3135382452.0,久量股份,XSHE
000520.XSHE,000520,2026-03-26,4220388195.0,4220388195.0,凤凰航运,XSHE
000731.XSHE,000731,2026-03-26,4220471171.0,4220471171.0,四川美丰,XSHE
001360.XSHE,001360,2026-03-26,4220760000.0,1692050959.0,南矿集团,XSHE
300962.XSHE,300962,2026-03-26,4224030400.0,4224030400.0,中金辐照,XSHE
605398.XSHG,605398,2026-03-26,4224117744.0,4224117744.0,新炬网络,XSHG
603230.XSHG,603230,2026-03-26,4224599850.0,4224599850.0,内蒙新华,XSHG
002766.XSHE,002766,2026-03-26,4224863295.36,4187274554.85,索菱股份,XSHE
300266.XSHE,300266,2026-03-26,4226355894.08,4223825070.08,兴源环境,XSHE
301399.XSHE,301399,2026-03-26,4231407400.0,1250613932.0,英特科技,XSHE
603566.XSHG,603566,2026-03-26,4232341929.0,4232341929.0,普莱柯,XSHG
600716.XSHG,600716,2026-03-26,4240354518.0,4240354518.0,凤凰股份,XSHG
605108.XSHG,605108,2026-03-26,4243200000.0,4243200000.0,同庆楼,XSHG
002644.XSHE,002644,2026-03-26,4243559670.0,4243559670.0,佛慈制药,XSHE
002593.XSHE,002593,2026-03-26,4244370240.0,2950723248.0,日上集团,XSHE
000868.XSHE,000868,2026-03-26,4246606444.0,3314644368.0,安凯客车,XSHE
002666.XSHE,002666,2026-03-26,4247316227.0,2698601598.0,德联集团,XSHE
003037.XSHE,003037,2026-03-26,4247439623.0,4247439623.0,三和管桩,XSHE
688786.XSHG,688786,2026-03-26,4247852000.0,4247852000.0,悦安新材,XSHG
603386.XSHG,603386,2026-03-26,4251983478.0,4251983478.0,骏亚科技,XSHG
688238.XSHG,688238,2026-03-26,4257680752.0,4205915792.0,和元生物,XSHG
000407.XSHE,000407,2026-03-26,4259609948.0,4238750032.0,胜利股份,XSHE
603269.XSHG,603269,2026-03-26,4260774840.0,4260774840.0,海鸥股份,XSHG
301636.XSHE,301636,2026-03-26,4263182325.0,1065797250.0,泽润新能,XSHE
002577.XSHE,002577,2026-03-26,4263650720.0,4263422870.0,雷柏科技,XSHE
000607.XSHE,000607,2026-03-26,4264156296.0,3708289946.0,华媒控股,XSHE
301237.XSHE,301237,2026-03-26,4268800000.0,3514423000.0,和顺科技,XSHE
688682.XSHG,688682,2026-03-26,4271123466.0,4271123466.0,霍莱沃,XSHG
600620.XSHG,600620,2026-03-26,4271131562.0,4271131562.0,天宸股份,XSHG
603535.XSHG,603535,2026-03-26,4271276444.6,4271276444.6,嘉诚国际,XSHG
002178.XSHE,002178,2026-03-26,4272918000.0,4270699200.0,延华智能,XSHE
603716.XSHG,603716,2026-03-26,4275553374.0,4275553374.0,塞力医疗,XSHG
603207.XSHG,603207,2026-03-26,4276203800.0,1446496000.0,小方制药,XSHG
002787.XSHE,002787,2026-03-26,4276853416.0,3200974876.0,华源控股,XSHE
600127.XSHG,600127,2026-03-26,4280693944.0,4280693944.0,金健米业,XSHG
002451.XSHE,002451,2026-03-26,4283312400.0,4268528280.0,摩恩电气,XSHE
300840.XSHE,300840,2026-03-26,4286400000.0,3162739886.0,酷特智能,XSHE
300822.XSHE,300822,2026-03-26,4286738112.0,3976392320.0,贝仕达克,XSHE
300445.XSHE,300445,2026-03-26,4291086000.0,2869706940.0,康斯特,XSHE
002692.XSHE,002692,2026-03-26,4294513080.0,4291899820.0,远程股份,XSHE
688379.XSHG,688379,2026-03-26,4295877555.0,4074567165.0,华光新材,XSHG
301092.XSHE,301092,2026-03-26,4298402835.0,1939000770.0,争光股份,XSHE
301119.XSHE,301119,2026-03-26,4299360000.0,3477107400.0,正强股份,XSHE
